,0
0,0.9949773712754786
1,0.9927788749699799
2,0.9898958366595375
3,0.9887619047619045
4,0.9852252793092097
5,0.9784648827467283
6,0.9722993161015604
7,0.9713303559942155
8,0.9705240879493081
9,0.9676296891898825
10,0.9648869450385181
11,0.9612675714071989
12,0.956369354027801
13,0.9497244024519021
14,0.94366328603269
15,0.9427108180662855
16,0.9419182934721619
17,0.9390733711355572
18,0.9363773547168572
19,0.9328212009591429
20,0.9280081929746038
21,0.9214786863852874
22,0.9145165355901314
23,0.9134217990380518
24,0.9125107172891985
25,0.9092389891955683
26,0.9061398784507885
27,0.902038361781319
28,0.8964902994374566
29,0.8821562295535564
30,0.8810857247278396
31,0.8801948360842888
32,0.8769958031697473
33,0.8739653489829956
34,0.8699567205979172
35,0.8645338555069298
36,0.8505228753078682
37,0.8494766022085143
38,0.8486059066702659
39,0.845479568934813
40,0.842368459909916
41,0.8382507102732293
42,0.8326807687126827
43,0.8182902363341139
44,0.817215496821297
45,0.8163210792718294
46,0.8100760351521342
47,0.8060635468839186
48,0.8006354793417462
49,0.7866110734622069
50,0.7855637934368173
51,0.7847188968205523
52,0.7788204992332743
53,0.7750358072577899
54,0.7699147695014734
55,0.7566826985531737
56,0.7548716312263357
57,0.7491250230038741
58,0.7454400783252689
59,0.7404534825777899
60,0.7275683587490704
61,0.7258049966511748
62,0.7202101777935295
63,0.7166249804118037
64,0.7117728266731622
65,0.6992346499640228
66,0.6975189930950694
67,0.6920759636022402
68,0.6885905135173938
69,0.6833033394831477
70,0.6696425297530948
71,0.6677725108437657
72,0.661838329404287
73,0.6528973214811746
74,0.6396348941756191
75,0.6379907795892314
76,0.6327753846318387
77,0.624943361566803
78,0.6117261953601567
79,0.6066585486226274
80,0.5990544799539526
81,0.5862214591189513
82,0.5813015606012852
83,0.5739254463289712
84,0.5614765708656148
85,0.5567044205678121
86,0.5495562606918591
87,0.5374915306001475
88,0.5328671285222083
89,0.5259469230426161
90,0.5142663383225494
91,0.5097896844644736
92,0.5030974333812424
93,0.4918009940328205
94,0.487472088394608
95,0.4810077917077376
96,0.46965415732085286
97,0.4653032535909238
98,0.44785428494330887
99,0.44406811724022066
100,0.4253116852836877
101,0.407270540986514
102,0.3899446843486996
103,0.3733341153702445
